epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9236,0.64523,1.62676,1.11082,0.87912,0.8951,0.93579,0.8001,0.5768,0.56727,1.00837,0.00332577,0.00332577,0.00332577
2,129.362,0.48563,0.71641,0.97362,0.85142,0.87062,0.92439,0.74221,0.69929,0.68153,1.0766,0.00663713,0.00663713,0.00663713
3,188.769,0.55411,0.77977,1.01602,0.75528,0.72822,0.79522,0.56739,0.99325,1.03837,1.36656,0.00992649,0.00992649,0.00992649
4,247.117,0.58035,0.82401,1.0379,0.79118,0.86686,0.89619,0.65904,0.82526,0.73156,1.18689,0.009901,0.009901,0.009901
5,305.955,0.5547,0.75889,1.02917,0.82864,0.89206,0.91625,0.7121,0.78517,0.65061,1.1414,0.009868,0.009868,0.009868
6,364.882,0.5175,0.70808,1.01251,0.85971,0.93509,0.94062,0.77361,0.67775,0.56594,1.07674,0.009835,0.009835,0.009835
7,424.373,0.49016,0.65159,0.99907,0.88677,0.89244,0.93597,0.76819,0.67975,0.5728,1.08127,0.009802,0.009802,0.009802
8,483.984,0.45373,0.60559,0.9812,0.90187,0.93434,0.95494,0.79498,0.64398,0.49828,1.02482,0.009769,0.009769,0.009769
9,543.157,0.441,0.5789,0.97594,0.9025,0.90551,0.9469,0.81947,0.58711,0.47727,1.00892,0.009736,0.009736,0.009736
10,602.338,0.42952,0.55306,0.97161,0.90844,0.91046,0.93394,0.79694,0.60586,0.51211,1.02259,0.009703,0.009703,0.009703
11,661.353,0.40689,0.52879,0.9621,0.90374,0.90879,0.93572,0.8148,0.57409,0.50406,1.0026,0.00967,0.00967,0.00967
12,720.553,0.40401,0.51391,0.96029,0.90685,0.95267,0.95737,0.81446,0.60738,0.46078,1.00565,0.009637,0.009637,0.009637
13,779.869,0.38718,0.50134,0.94895,0.92876,0.92193,0.95863,0.83669,0.57694,0.44388,0.99467,0.009604,0.009604,0.009604
14,838.673,0.3731,0.48299,0.94809,0.93354,0.93119,0.9592,0.83724,0.55691,0.41487,0.97933,0.009571,0.009571,0.009571
15,897.71,0.36781,0.47608,0.94131,0.93167,0.91879,0.96276,0.83975,0.56745,0.41846,1.00099,0.009538,0.009538,0.009538
16,956.39,0.36134,0.45742,0.9389,0.91285,0.94896,0.95505,0.82087,0.56632,0.41738,1.00152,0.009505,0.009505,0.009505
17,1014.89,0.36084,0.43844,0.93361,0.93901,0.92037,0.95665,0.83462,0.54143,0.40375,0.97015,0.009472,0.009472,0.009472
18,1073.95,0.35413,0.43346,0.93373,0.92405,0.95558,0.95431,0.84638,0.52357,0.40401,0.95429,0.009439,0.009439,0.009439
19,1132.99,0.34547,0.42469,0.92686,0.91842,0.9483,0.95959,0.84343,0.56285,0.39274,1.00578,0.009406,0.009406,0.009406
20,1191.66,0.33905,0.41939,0.92742,0.9565,0.92422,0.96489,0.85613,0.54016,0.37646,0.9785,0.009373,0.009373,0.009373
21,1250.37,0.33812,0.41721,0.92926,0.92197,0.94661,0.95537,0.84925,0.51652,0.39799,0.96174,0.00934,0.00934,0.00934
22,1308.57,0.33087,0.41352,0.92633,0.94951,0.94263,0.95623,0.8467,0.51448,0.39594,0.93887,0.009307,0.009307,0.009307
23,1367.57,0.3258,0.39909,0.92401,0.9252,0.92077,0.93956,0.83931,0.4993,0.40986,0.95086,0.009274,0.009274,0.009274
24,1426.64,0.32283,0.39248,0.92313,0.93018,0.95173,0.95984,0.86581,0.48934,0.3599,0.92822,0.009241,0.009241,0.009241
25,1485.52,0.31483,0.38492,0.923,0.94206,0.93973,0.96112,0.86774,0.48335,0.36276,0.93151,0.009208,0.009208,0.009208
26,1544.71,0.31353,0.38883,0.92357,0.9263,0.94618,0.95127,0.85286,0.49031,0.37317,0.94527,0.009175,0.009175,0.009175
27,1603.77,0.30721,0.37649,0.91861,0.93772,0.95132,0.96017,0.86465,0.50026,0.36492,0.94855,0.009142,0.009142,0.009142
28,1662.97,0.30607,0.3659,0.91646,0.94626,0.93722,0.94753,0.85411,0.50567,0.38057,0.94142,0.009109,0.009109,0.009109
29,1721.82,0.30524,0.36894,0.91327,0.95482,0.94277,0.9615,0.8704,0.48169,0.35124,0.92961,0.009076,0.009076,0.009076
30,1781.27,0.30373,0.36149,0.91256,0.91823,0.95284,0.95713,0.85275,0.51123,0.3847,0.95463,0.009043,0.009043,0.009043
31,1840.49,0.29861,0.36529,0.91325,0.92181,0.95844,0.95889,0.86756,0.46833,0.34263,0.93131,0.00901,0.00901,0.00901
32,1899.32,0.29385,0.34691,0.91085,0.9389,0.94934,0.95256,0.86091,0.50155,0.36704,0.94523,0.008977,0.008977,0.008977
33,1957.91,0.29498,0.35023,0.90993,0.92543,0.94722,0.95728,0.86523,0.48558,0.36468,0.94383,0.008944,0.008944,0.008944
34,2016.89,0.2885,0.35596,0.91019,0.92125,0.95404,0.96584,0.88436,0.45801,0.34201,0.9056,0.008911,0.008911,0.008911
35,2076.17,0.28156,0.33134,0.90313,0.92988,0.95664,0.96477,0.88339,0.44943,0.32899,0.91076,0.008878,0.008878,0.008878
36,2135.18,0.28558,0.33377,0.90728,0.96431,0.94429,0.96474,0.87166,0.4732,0.33368,0.92077,0.008845,0.008845,0.008845
37,2193.6,0.28185,0.33492,0.90514,0.94727,0.95502,0.96411,0.88002,0.47513,0.35685,0.92403,0.008812,0.008812,0.008812
38,2252.53,0.27496,0.32116,0.90483,0.93457,0.97226,0.95877,0.87188,0.47181,0.34333,0.91464,0.008779,0.008779,0.008779
39,2311.91,0.28219,0.32949,0.90139,0.97337,0.95069,0.97456,0.88881,0.45301,0.30596,0.91924,0.008746,0.008746,0.008746
40,2370.99,0.2752,0.32648,0.90229,0.95842,0.94786,0.96276,0.87643,0.44883,0.30961,0.91835,0.008713,0.008713,0.008713
41,2429.99,0.27463,0.3162,0.90381,0.94106,0.95534,0.95735,0.87152,0.46695,0.34646,0.93696,0.00868,0.00868,0.00868
42,2488.75,0.27271,0.32018,0.90191,0.95937,0.94898,0.96369,0.88311,0.43501,0.32464,0.90944,0.008647,0.008647,0.008647
43,2547.66,0.27327,0.32192,0.9034,0.93991,0.95773,0.96455,0.87828,0.46031,0.34318,0.92882,0.008614,0.008614,0.008614
44,2606.73,0.27076,0.31346,0.90187,0.96899,0.94771,0.96406,0.89088,0.43323,0.31904,0.89697,0.008581,0.008581,0.008581
45,2665.33,0.26666,0.31485,0.89804,0.94782,0.95692,0.96867,0.89758,0.42983,0.30642,0.90203,0.008548,0.008548,0.008548
46,2724.24,0.26467,0.30791,0.8981,0.95702,0.95172,0.96566,0.89327,0.43186,0.30321,0.90093,0.008515,0.008515,0.008515
47,2783.1,0.26916,0.31229,0.90103,0.97169,0.95889,0.96746,0.89598,0.43749,0.30442,0.90176,0.008482,0.008482,0.008482
48,2841.61,0.25721,0.30169,0.89663,0.95728,0.93901,0.95994,0.8815,0.43116,0.31378,0.90843,0.008449,0.008449,0.008449
49,2900.06,0.25778,0.3018,0.89435,0.95944,0.94349,0.96525,0.89534,0.4214,0.31619,0.89774,0.008416,0.008416,0.008416
50,2958.76,0.26246,0.3019,0.89516,0.95273,0.94873,0.96557,0.8869,0.43427,0.33067,0.89754,0.008383,0.008383,0.008383
51,3017.22,0.26365,0.30207,0.89684,0.96207,0.94818,0.96239,0.88764,0.43373,0.31102,0.89598,0.00835,0.00835,0.00835
52,3075.78,0.25414,0.29214,0.89507,0.96626,0.94835,0.96706,0.89865,0.42698,0.30161,0.89603,0.008317,0.008317,0.008317
53,3134.21,0.25691,0.30142,0.89809,0.94574,0.95119,0.96332,0.89024,0.42947,0.30503,0.89903,0.008284,0.008284,0.008284
54,3192.46,0.25347,0.28976,0.89515,0.95192,0.95554,0.96859,0.89583,0.43731,0.2974,0.90511,0.008251,0.008251,0.008251
55,3251.32,0.26446,0.29913,0.89589,0.9403,0.956,0.97086,0.90234,0.42151,0.3037,0.89951,0.008218,0.008218,0.008218
56,3309.96,0.25541,0.29271,0.89394,0.94774,0.93671,0.96651,0.89875,0.40738,0.30302,0.87832,0.008185,0.008185,0.008185
57,3368.67,0.25269,0.28258,0.89159,0.95849,0.95031,0.96904,0.89824,0.42545,0.3077,0.8981,0.008152,0.008152,0.008152
58,3427.64,0.2469,0.28336,0.89288,0.95676,0.93103,0.96649,0.89701,0.41805,0.30455,0.90099,0.008119,0.008119,0.008119
59,3486.75,0.25127,0.28873,0.89253,0.96267,0.96423,0.97141,0.9023,0.41939,0.3041,0.89466,0.008086,0.008086,0.008086
60,3545.41,0.24708,0.28396,0.89277,0.94533,0.95678,0.96976,0.90067,0.4197,0.29886,0.89654,0.008053,0.008053,0.008053
61,3604.36,0.24491,0.28067,0.88926,0.95264,0.96338,0.97457,0.91254,0.39843,0.29139,0.87696,0.00802,0.00802,0.00802
62,3663.39,0.24846,0.27992,0.88818,0.96546,0.9633,0.97171,0.90735,0.41033,0.28105,0.89094,0.007987,0.007987,0.007987
63,3723.63,0.24654,0.28244,0.88841,0.94441,0.96726,0.97207,0.90033,0.4221,0.28269,0.90164,0.007954,0.007954,0.007954
64,3783.74,0.23921,0.27589,0.88694,0.95301,0.95134,0.96957,0.9,0.42959,0.30386,0.9032,0.007921,0.007921,0.007921
