epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2002,0.80089,2.52141,1.15497,0.57323,0.72169,0.73253,0.52914,0.94588,1.53757,1.26007,0.00332577,0.00332577,0.00332577
2,144.58,0.6212,1.44413,1.00963,0.75641,0.66883,0.72601,0.49376,1.06218,1.43515,1.47486,0.00663713,0.00663713,0.00663713
3,212.661,0.66558,1.20008,1.02312,0.71535,0.74895,0.84917,0.59185,0.97176,1.46737,1.30366,0.00992649,0.00992649,0.00992649
4,282.552,0.67506,1.02829,1.03057,0.7734,0.86361,0.8536,0.59081,0.96707,0.9971,1.33398,0.009901,0.009901,0.009901
5,363.017,0.61897,0.87526,1.01102,0.8266,0.86566,0.89559,0.6526,0.89122,0.71497,1.24932,0.009868,0.009868,0.009868
6,461.301,0.57649,0.77884,0.99648,0.8597,0.87515,0.90677,0.66363,0.87906,0.76894,1.2032,0.009835,0.009835,0.009835
7,576.81,0.5514,0.72884,0.98426,0.88204,0.89316,0.93278,0.74644,0.75922,0.60943,1.12466,0.009802,0.009802,0.009802
8,672.452,0.50776,0.66853,0.9664,0.87139,0.85161,0.91784,0.72299,0.74898,0.63634,1.12597,0.009769,0.009769,0.009769
9,767.921,0.49609,0.63148,0.9623,0.86283,0.88068,0.92618,0.71273,0.80888,0.67212,1.15501,0.009736,0.009736,0.009736
10,863.428,0.48656,0.6049,0.96023,0.90143,0.9389,0.95211,0.7827,0.67973,0.5473,1.08531,0.009703,0.009703,0.009703
11,959.881,0.4641,0.58316,0.9476,0.86301,0.88254,0.91561,0.77438,0.63835,0.59449,1.04479,0.00967,0.00967,0.00967
12,1056.72,0.45177,0.5718,0.94759,0.92345,0.91607,0.95771,0.81219,0.63327,0.48369,1.04482,0.009637,0.009637,0.009637
13,1153.24,0.43778,0.54153,0.94143,0.90594,0.93317,0.96642,0.81309,0.66079,0.47029,1.05347,0.009604,0.009604,0.009604
14,1250.19,0.43061,0.53488,0.94087,0.89288,0.91408,0.94431,0.78028,0.67891,0.50794,1.06704,0.009571,0.009571,0.009571
15,1346.4,0.41774,0.52103,0.93418,0.87283,0.93021,0.93004,0.80436,0.61433,0.52838,1.02268,0.009538,0.009538,0.009538
16,1442.88,0.41049,0.5067,0.93025,0.90177,0.88851,0.93856,0.7959,0.62492,0.50821,1.03045,0.009505,0.009505,0.009505
17,1537.45,0.40329,0.49804,0.92912,0.92376,0.93023,0.95133,0.80103,0.64871,0.49886,1.04378,0.009472,0.009472,0.009472
18,1632.78,0.40105,0.4904,0.93042,0.89576,0.89266,0.93498,0.76999,0.68356,0.57166,1.06025,0.009439,0.009439,0.009439
19,1730.47,0.39585,0.4813,0.92465,0.89983,0.94372,0.94947,0.82828,0.594,0.48179,1.00063,0.009406,0.009406,0.009406
20,1827.17,0.38737,0.47094,0.9242,0.86695,0.96926,0.95409,0.8252,0.59077,0.47529,1.00698,0.009373,0.009373,0.009373
21,1922.61,0.38202,0.46244,0.92593,0.93963,0.91807,0.952,0.82788,0.59342,0.44856,0.99812,0.00934,0.00934,0.00934
22,2018.45,0.38027,0.46142,0.92045,0.94452,0.93476,0.96483,0.83414,0.60425,0.41446,1.01056,0.009307,0.009307,0.009307
