epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2995,0.7829,1.76442,1.17087,0.8351,0.83675,0.90047,0.71294,0.73977,0.75599,1.12801,0.00332577,0.00332577,0.00332577
2,116.106,0.53546,0.76276,0.98098,0.76608,0.82303,0.86607,0.64388,0.88954,0.8364,1.26218,0.00663713,0.00663713,0.00663713
3,186.663,0.58078,0.79531,1.00074,0.79329,0.84406,0.87986,0.61799,0.99539,0.84645,1.39496,0.00992649,0.00992649,0.00992649
4,257.179,0.61776,0.79985,1.01581,0.76602,0.80626,0.83213,0.53429,1.13198,0.98249,1.39957,0.009901,0.009901,0.009901
5,326.906,0.57541,0.73353,1.00138,0.84047,0.88963,0.91663,0.68808,0.87282,0.68359,1.23544,0.009868,0.009868,0.009868
6,407.874,0.53835,0.6854,0.98345,0.89907,0.90296,0.94237,0.73829,0.79915,0.60973,1.15545,0.009835,0.009835,0.009835
7,510.843,0.5147,0.6391,0.9707,0.90641,0.90978,0.95454,0.76311,0.74007,0.5687,1.13287,0.009802,0.009802,0.009802
8,633.488,0.47585,0.59673,0.95978,0.8692,0.90142,0.93874,0.74215,0.7555,0.61475,1.11889,0.009769,0.009769,0.009769
9,738.704,0.46299,0.57799,0.9542,0.76479,0.79446,0.81968,0.58584,0.93797,0.75249,1.24504,0.009736,0.009736,0.009736
10,843.849,0.45432,0.54812,0.95201,0.90848,0.92693,0.949,0.78068,0.7046,0.5318,1.06265,0.009703,0.009703,0.009703
11,948.999,0.43852,0.52989,0.94227,0.88868,0.91822,0.94289,0.7878,0.67155,0.52721,1.06271,0.00967,0.00967,0.00967
12,1054.21,0.41976,0.51332,0.93753,0.87926,0.93797,0.94888,0.79589,0.66274,0.51275,1.04905,0.009637,0.009637,0.009637
13,1159.91,0.409,0.49805,0.93228,0.89694,0.93777,0.95657,0.81799,0.61122,0.47726,1.01096,0.009604,0.009604,0.009604
14,1264.53,0.3915,0.47975,0.92982,0.92361,0.93255,0.95453,0.8125,0.63982,0.47555,1.05219,0.009571,0.009571,0.009571
15,1368.9,0.38846,0.46994,0.92668,0.93978,0.91885,0.95612,0.81889,0.62056,0.45598,1.02421,0.009538,0.009538,0.009538
16,1473.4,0.38152,0.4593,0.92405,0.94838,0.94618,0.9706,0.82457,0.64962,0.44364,1.03166,0.009505,0.009505,0.009505
17,1577.82,0.37383,0.44465,0.92061,0.93066,0.92196,0.9574,0.84397,0.56273,0.43014,0.98677,0.009472,0.009472,0.009472
18,1680.76,0.36495,0.43548,0.91892,0.91125,0.92741,0.93624,0.81639,0.59002,0.46886,1.00544,0.009439,0.009439,0.009439
19,1785.14,0.36535,0.43807,0.91617,0.93572,0.93961,0.95366,0.84244,0.55841,0.4196,0.97209,0.009406,0.009406,0.009406
20,1889.82,0.3578,0.41946,0.91637,0.94885,0.91815,0.95706,0.82811,0.58447,0.43428,0.99833,0.009373,0.009373,0.009373
21,1995.54,0.35376,0.4122,0.91561,0.91891,0.94605,0.95246,0.83628,0.55924,0.42566,0.98072,0.00934,0.00934,0.00934
